2025-06-23T16:41:36.145Z	INFO	cobra@v1.9.1/command.go:1015	Starting all services
2025-06-23T16:47:02.665Z	INFO	driver/redis.go:74	Got driver's ID	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "3906930076e28865", "driverID": "T746719C"}
2025-06-23T16:47:02.665Z	INFO	driver/server.go:85	Search successful	{"service": "driver", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "71d078d72ba771c7", "driver_count": 10, "locations": "[{\"driverID\":\"T715841C\",\"location\":\"155,238\"},{\"driverID\":\"T741297C\",\"location\":\"534,33\"},{\"driverID\":\"T707605C\",\"location\":\"662,47\"},{\"driverID\":\"T728318C\",\"location\":\"669,186\"},{\"driverID\":\"T729289C\",\"location\":\"552,198\"},{\"driverID\":\"T769937C\",\"location\":\"648,911\"},{\"driverID\":\"T768314C\",\"location\":\"185,198\"},{\"driverID\":\"T715612C\",\"location\":\"3,875\"},{\"driverID\":\"T765374C\",\"location\":\"479,358\"},{\"driverID\":\"T746719C\",\"location\":\"594,928\"}]"}
2025-06-23T16:47:02.666Z	INFO	frontend/best_eta.go:84	Found drivers	{"service": "frontend", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "drivers": [{"DriverID":"T715841C","Location":"155,238"},{"DriverID":"T741297C","Location":"534,33"},{"DriverID":"T707605C","Location":"662,47"},{"DriverID":"T728318C","Location":"669,186"},{"DriverID":"T729289C","Location":"552,198"},{"DriverID":"T769937C","Location":"648,911"},{"DriverID":"T768314C","Location":"185,198"},{"DriverID":"T715612C","Location":"3,875"},{"DriverID":"T765374C","Location":"479,358"},{"DriverID":"T746719C","Location":"594,928"}]}
2025-06-23T16:47:02.666Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "662,47", "dropoff": "115,277"}
2025-06-23T16:47:02.666Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "155,238", "dropoff": "115,277"}
2025-06-23T16:47:02.666Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "534,33", "dropoff": "115,277"}
2025-06-23T16:47:02.666Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "2a35dfc1442d0f0b", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=662%2C47"}
2025-06-23T16:47:02.667Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "c64506245f3b52a0", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=155%2C238"}
2025-06-23T16:47:02.667Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "4fdb2d856dc110a2", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=534%2C33"}
2025-06-23T16:47:02.702Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "669,186", "dropoff": "115,277"}
2025-06-23T16:47:02.702Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "992618680ef33b45", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=669%2C186"}
2025-06-23T16:47:02.717Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "552,198", "dropoff": "115,277"}
2025-06-23T16:47:02.718Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "b2dd1cae603bfc55", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=552%2C198"}
2025-06-23T16:47:02.722Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "648,911", "dropoff": "115,277"}
2025-06-23T16:47:02.723Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "5cfa07c267669e46", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=648%2C911"}
2025-06-23T16:47:02.737Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "185,198", "dropoff": "115,277"}
2025-06-23T16:47:02.737Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "07c1b5f05d5b81bc", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=185%2C198"}
2025-06-23T16:47:02.739Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "3,875", "dropoff": "115,277"}
2025-06-23T16:47:02.740Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "b08032f45de91464", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=3%2C875"}
2025-06-23T16:47:02.761Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "479,358", "dropoff": "115,277"}
2025-06-23T16:47:02.762Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "6bf64a80c94c10bf", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=479%2C358"}
2025-06-23T16:47:02.792Z	INFO	route/client.go:36	Finding route	{"service": "frontend", "component": "route_client", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "pickup": "594,928", "dropoff": "115,277"}
2025-06-23T16:47:02.792Z	INFO	route/server.go:67	HTTP request received	{"service": "route", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "1c2da345308f861e", "method": "GET", "url": "/route?dropoff=115%2C277&pickup=594%2C928"}
2025-06-23T16:47:02.848Z	INFO	frontend/best_eta.go:87	Found routes	{"service": "frontend", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "routes": [{},{},{},{},{},{},{},{},{},{}]}
2025-06-23T16:47:02.848Z	INFO	frontend/best_eta.go:103	Dispatch successful	{"service": "frontend", "trace_id": "b3c2e9767c40f09c9311467388c143ec", "span_id": "699df2fb9f3340c1", "driver": "T728318C", "eta": "2m0s"}
